ID produktu SKU	Meno produktu	Kategória	E-shop cena (MJ) v €	MJ	Cena pred akciou	Cena 1kg	Bal (MJ)	MOQ (MJ)	Balenie (ks)	Hmotnosť (MJ)	Hmotnosť (bal)	Doprava	Cena dopravy v €	Návin	Hrúbka	Šírka	Šírka po rozložení	Obvod	Farba	Text	Hmotnosť dutinky	Nosnosť	Prieťažnosť	Objem	Vlastnosť	Vonkajšia dĺžka	Vonkajšia šírka	Vonkajšia výška	Vnútorná dĺžka	Vnútorná šírka	Vnútorná výška	Vrstvy papiera	Skupina	Súvisiaci produkt 1	Súvisiaci produkt 2	Súvisiaci produkt 3	Súvisiaci produkt 4	Súvisiaci produkt 5	Popis produktu / Podkategórie
99001561	"Stretch fólia 500mm 23μm 1,5kg netto "	"Ručná stretch fólia 100, 125, 250mm Transparetná"	2.9000	ks	2.9000		6	6		1.7	11	1		140m	23μm																								1-1 Stretch fólia
99001592	"Stretch fólia 500mm 23μm 2,1kg "	Ručná stretch fólia 500mm Transparentná	3.4000	ks			6	6		2.1	13	1		135m	23μm	500mm			Transparent		700g													99001740	99000241	99001296	99000086	99000556	1-1 Stretch fólia
99001296	"Stretch fólia 500mm 23μm 2,1kg Čierna"	Ručná stretch fólia 500mm Farebná	3.8000	ks			6	6		2.1	13	1		135m	23μm	500mm			Čierna		700g													99001740	99000241	99001592	99000086	99000556	1-1 Stretch fólia
99005159	"Stretch fólia 500mm 23μm 2,1kg Biela"	Ručná stretch fólia 500mm Farebná	4.2000	ks			6	6		2.1	13	1		135m	23μm	500mm			Biela		700g													99001740	99000241	99001296	99000086	99000556	1-1 Stretch fólia
99001053	Stretch fólia 500mm 17μm 300m 	Ručná stretch fólia 500mm Transparentná	4.1000	ks	4.6000		6	6		2.1	15	1		300m	17μm	500mm			Transparent		240g													99001740	99000241	99001296	99001592	99000556	1-1 Stretch fólia
99001246	Stretch fólia 500mm 20μm 300m	Ručná stretch fólia 500mm Transparentná	5.4000	ks			6	6		2.78	17	1		300m	20μm	500mm			Transparent		240g													99001740	99000241	99001296	99000086	99000556	1-1 Stretch fólia
99002526	"Stretch fólia 500mm 23μm 1,9kg  "	Ručná stretch fólia 500mm Transparentná	3.1000	ks			6	6		1.9	12	1		115m	23μm	500mm			Transparent		700g													99001740	99000241	99001296	99000086	99000556	1-1 Stretch fólia
99001899	Stretch fólia 500mm 23μm 250m 	Ručná stretch fólia 500mm Transparentná	4.9000	ks			6	6		2.65	16.5	1		250m	23μm	500mm			Transparent		240g													99001740	99000241	99001296	99000086	99000556	1-1 Stretch fólia
99000919	"Stretch fólia 500mm 30μm 2,1kg"	Ručná stretch fólia 500mm Transparentná	3.6000	ks			6	6		2.1	13	1		105m	30μm	500mm			Transparent		700g													99001740	99000241	99001296	99000086	99000556	1-1 Stretch fólia
99000086	Stretch fólia 100mm 20μm 150m	"Ručná stretch fólia 100, 125, 250mm Transparetná"	0.6500	ks	0.7500		50	50			17	1		150m	20μm	100mm			Transparent															99001187	99003300	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99001238	Stretch fólia 100mm 20μm 150m s rúčkou	"Ručná stretch fólia 100, 125, 250mm Transparetná"	0.8000	ks			27	27			11	1		150m	20μm	200mm			Transparent															99001187	99003300	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99000286	Stretch fólia 125mm 20μm 150m	"Ručná stretch fólia 100, 125, 250mm Transparetná"	0.8500	ks			34	34			15	1		150m	20μm	125mm			Transparent															99001187	99003300	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99001036	Stretch fólia 125mm 20μm 150m s rúčkou	"Ručná stretch fólia 100, 125, 250mm Transparetná"	0.9000	ks			20	20			16	1		150m	20μm	230mm			Transparent															99001187	99003300	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99000788	Stretch fólia 250mm 23μm 135m	"Ručná stretch fólia 100, 125, 250mm Transparetná"	1.8000	ks			12	12			13	1		135m	23μm	250mm			Transparent															99001187	99003300	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99003300	Stretch fólia 100mm 23μm 150m Čierna	"Ručná stretch fólia 100, 125, 250mm Čierna"	0.9000	ks			50	50			19	1		150m	23μm	100mm			Čierna															99001187	99000086	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99003407	Stretch fólia 100mm 23μm 150m s ručkou Čierna	"Ručná stretch fólia 100, 125, 250mm Čierna"	1.0000	ks			27	27			12	1		150m	23μm	200mm			Čierna															99001187	99000086	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99004529	Stretch fólia 125mm 23μm 150m Čierna	"Ručná stretch fólia 100, 125, 250mm Čierna"	1.2000	ks			32	32			15	1		150m	23μm	125mm			Čierna															99001187	99000086	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99004451	Stretch fólia 125mm 23μm 150m s rúčkou Čierna	"Ručná stretch fólia 100, 125, 250mm Čierna"	1.3000	ks			20	20			14	1		150m	23μm	230mm			Čierna															99001187	99000086	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99001361	Stretch fólia 250mm 23μm 135m Čierna	"Ručná stretch fólia 100, 125, 250mm Čierna"	2.2000	ks			12	12			13	1		150m	23μm	250mm			Čierna															99001187	99000086	99001592	99000208	99000556	"1-1-3 100mm, 125mm, 250mm ručná stretch fólia"
99004642	Stretch fólia 500mm 8μm 550m	Ručná stretch fólia 500mm Transparentná	6.8000	ks			6	6			14	1		550m	8μm	500mm			Transparent															99001740	99000241	99001296	99000086	99000556	1-1-4 Viacvrstvové stretch fólie / Superstretch
99004592	Stretch fólia predpätá 425mm 7μm 600m	Ručná stretch fólia 500mm Transparentná	5.1000	ks			6	6			13	1		600m	7μm	500mm			Transparent															99001740	99000241	99001296	99000086	99000556	1-1-4 Viacvrstvové stretch fólie / Superstretch
99000644	Stretch fólia strojová 500mm 17μm 150%	"Strojová stretch fólia 100, 125, 250, 500mm "	23.6800	ks		1.4800	1	1		16	16	1		1900m	17μm	500mm			Transparent				150%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99000680	Stretch fólia strojová 500mm 20μm 150%	"Strojová stretch fólia 100, 125, 250, 500mm "	23.6800	ks		1.4800	1	1		16	16	1		1600m	20μm	500mm			Transparent				150%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99000539	Stretch fólia strojová 500mm 23μm 150%	"Strojová stretch fólia 100, 125, 250, 500mm "	21.6000	ks		1.3500	1	1		16	16	1		1450m	23μm	500mm			Transparent				150%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99000730	Stretch fólia strojová 500mm 30μm 150%	"Strojová stretch fólia 100, 125, 250, 500mm "	23.6800	ks		1.4800	1	1		16	16	1		1100m	30μm	500mm			Transparent				150%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99001528	Stretch fólia strojová 500mm 23μm 150% Čierna	"Strojová stretch fólia 100, 125, 250, 500mm "	26.4000	ks		1.6500	1	1		16	16	1		1450m	23μm	500mm			Čierna				150%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99001262	Stretch fólia strojová 500mm 17μm 250% 	"Strojová stretch fólia 100, 125, 250, 500mm "	30.4000	ks		1.9000	1	1		16	16	1		1900m	17μm	500mm			Transparent				250%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99001188	Stretch fólia strojová 500mm 23μm 250%	"Strojová stretch fólia 100, 125, 250, 500mm "	30.4000	ks		1.9000	1	1		16	16	1		1450m	23μm	500mm			Transparent				250%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99003267	Stretch fólia strojová 250mm 23μm 150%	"Strojová stretch fólia 100, 125, 250, 500mm "	8.3850	ks		1.9500	2	2		4.3	8.6	1		1450m	23μm	250mm			Transparent				150%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99003847	Stretch fólia strojová 125mm 23μm 150%	"Strojová stretch fólia 100, 125, 250, 500mm "	4.2900	ks		1.9500	4	4		2.2	8.8	1		650m	23μm	125mm			Transparent				150%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
99002897	Stretch fólia strojová 100mm 23μm 150%	"Strojová stretch fólia 100, 125, 250, 500mm "	3.9000	ks		1.9500	5	5		2	10	1		720m	23μm	100mm			Transparent				150%											99001101	99002193	99000454	99005262	99000556	1-1-6 Stretch fólia strojová
